Date,sol_z
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-01-30,
2021-01-31,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-06,
2021-02-07,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-20,
2021-02-21,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-02-27,
2021-02-28,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-06,
2021-03-07,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-13,
2021-03-14,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-20,
2021-03-21,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-27,
2021-03-28,
2021-03-29,
2021-03-30,
2021-03-31,
2021-04-01,
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,
2021-04-06,
2021-04-07,
2021-04-08,
2021-04-09,3.2597860244566808
2021-04-10,2.9267130516220075
2021-04-11,3.0323397546711517
2021-04-12,3.1032454155259397
2021-04-13,2.6321983803319906
2021-04-14,2.4803397553122517
2021-04-15,2.641255799542227
2021-04-16,2.35560192881203
2021-04-17,2.3418989565909296
2021-04-18,3.7927980921789555
2021-04-19,3.656503209477888
2021-04-20,3.5316089380616504
2021-04-21,3.8108020492743884
2021-04-22,4.9372569800161275
2021-04-23,4.555189723558468
2021-04-24,5.10153787149638
2021-04-25,5.994118642312603
2021-04-26,4.6704299935627365
2021-04-27,4.333270007830857
2021-04-28,4.428108724068989
2021-04-29,4.141800673649902
2021-04-30,3.722528125481423
2021-05-01,4.35049352266795
2021-05-02,4.06013398879982
2021-05-03,3.811481688107726
2021-05-04,3.717535065584504
2021-05-05,3.5298412757989865
2021-05-06,3.394527651070024
2021-05-07,3.2304066013556265
2021-05-08,3.303729913402125
2021-05-09,3.1719790219123176
2021-05-10,3.159359340537703
2021-05-11,3.2069048491619943
2021-05-12,3.5688161770289737
2021-05-13,3.294599357525495
2021-05-14,3.403066424796574
2021-05-15,3.712074314403485
2021-05-16,4.061195193709658
2021-05-17,4.2509149029394075
2021-05-18,5.171808693069862
2021-05-19,3.3990034664642153
2021-05-20,4.0025979139205
2021-05-21,3.660415104406419
2021-05-22,2.684599944333455
2021-05-23,2.10345013936154
2021-05-24,2.5162533085015126
2021-05-25,2.369986580899275
2021-05-26,2.875958428911814
2021-05-27,2.7062895531238236
2021-05-28,2.417885630428136
2021-05-29,2.2969366236132824
2021-05-30,2.319525792644846
2021-05-31,2.616993961373592
2021-06-01,2.444723620244951
2021-06-02,2.6590915765168
2021-06-03,3.0400471747752698
2021-06-04,3.0240319092381815
2021-06-05,3.3650865400644827
2021-06-06,3.557743222259113
2021-06-07,3.340871823284619
2021-06-08,3.65142500048935
2021-06-09,3.1615774565297734
2021-06-10,3.0906598146500595
2021-06-11,2.489705440821485
2021-06-12,2.675061178739343
2021-06-13,2.5239055367673715
2021-06-14,2.392988903965603
2021-06-15,2.5637527367800037
2021-06-16,2.5927132455786643
2021-06-17,2.5501743983355714
2021-06-18,2.494541352064668
2021-06-19,2.3601294789115146
2021-06-20,2.325172819668931
2021-06-21,1.8032118433581898
2021-06-22,1.7292052301420098
2021-06-23,1.943431575245273
2021-06-24,1.9561379613237597
2021-06-25,1.9652961490486105
2021-06-26,2.002286792403468
2021-06-27,1.9800821967205668
2021-06-28,2.0775657445844744
2021-06-29,2.020137862291049
2021-06-30,2.231317811296905
2021-07-01,2.1465605167106236
2021-07-02,2.154722468445007
2021-07-03,2.106038352996939
2021-07-04,2.0168930938775027
2021-07-05,2.0161650942693785
2021-07-06,2.0732945749383216
2021-07-07,2.3043129991485376
2021-07-08,2.0616547873680293
2021-07-09,1.9642847106454036
2021-07-10,1.837457177522562
2021-07-11,1.7970892870879174
2021-07-12,1.7549100819280155
2021-07-13,1.619896298399243
2021-07-14,1.7997878951752764
2021-07-15,1.610541424015866
2021-07-16,1.4293552352526437
2021-07-17,1.4454102133713356
2021-07-18,1.4180116200941115
2021-07-19,1.2637460560145894
2021-07-20,1.240575074931329
2021-07-21,1.3576634943141104
2021-07-22,1.4346178962791551
2021-07-23,1.40105933856805
2021-07-24,1.3561812859368605
2021-07-25,1.2274703196215349
2021-07-26,1.1041899206561099
2021-07-27,0.9601508728062206
2021-07-28,0.9047549820875417
2021-07-29,1.159267543840092
2021-07-30,1.1082424733662228
2021-07-31,1.4539864533963835
2021-08-01,1.3620678042638723
2021-08-02,1.3258498805890497
2021-08-03,1.4474255236696947
2021-08-04,1.4641953280717717
2021-08-05,1.4970506908706942
2021-08-06,1.508901248365906
2021-08-07,1.3906819367502004
2021-08-08,1.3112245429451423
2021-08-09,1.2331080822787046
2021-08-10,1.3883532101422134
2021-08-11,1.4502731411602163
2021-08-12,1.4691559655762476
2021-08-13,1.5015268310798395
2021-08-14,1.4842334875231125
2021-08-15,2.065179222175501
2021-08-16,2.653453097956576
